keyword,domain,url,position
Health insurance,policybazaar.com,https://www.policybazaar.com/health-insurance/health-insurance-india/,1
Health insurance,icicilombard.com,https://www.icicilombard.com/health-insurance,2
Health insurance,bajajfinserv.in,https://www.bajajfinserv.in/insurance/health-insurance-all-products,3
Health insurance,tataaig.com,https://www.tataaig.com/health-insurance,4
Health insurance,starhealth.in,https://www.starhealth.in/health-insurance/,5
Health insurance,hdfcergo.com,https://www.hdfcergo.com/health-insurance,6
Health insurance,acko.com,https://www.acko.com/health-insurance/,7
Health insurance,maxlifeinsurance.com,https://www.maxlifeinsurance.com/health-insurance-plans,8
Health insurance,hdfclife.com,https://www.hdfclife.com/insurance-knowledge-centre/about-life-insurance/health-insurance-meaning-and-types,9
Health insurance,starhealth.in,https://www.starhealth.in/,10
Health insurance,bajajallianz.com,https://www.bajajallianz.com/health-insurance-plans.html,11
Health insurance,en.wikipedia.org,https://en.wikipedia.org/wiki/Health_insurance,12
Health insurance,nationalinsurance.nic.co.in,https://nationalinsurance.nic.co.in/en/health-insurance,13
Health insurance,investopedia.com,https://www.investopedia.com/terms/h/healthinsurance.asp,14
Health insurance,hdfclife.com,https://www.hdfclife.com/health-insurance-plans,15
Health insurance,iciciprulife.com,https://www.iciciprulife.com/health-insurance/health-insurance-plans.html,16
Health insurance,policybazaar.com,https://www.policybazaar.com/health-insurance/individual-health-insurance/articles/best-health-insurance-plans-in-india/,17
Health insurance,insurancedekho.com,https://www.insurancedekho.com/health-insurance,18
Health insurance,cholainsurance.com,https://www.cholainsurance.com/health-insurance,19
Health insurance,etmoney.com,https://www.etmoney.com/health-insurance,20
Health insurance,my.royalsundaram.in,https://my.royalsundaram.in/health-insurance,21
Health insurance,manipalcigna.com,https://www.manipalcigna.com/,22
Health insurance,newindia.co.in,https://www.newindia.co.in/,23
Health insurance,bajajfinserv.in,https://www.bajajfinserv.in/insurance/health-insurance,24
Health insurance,manipalcigna.com,https://www.manipalcigna.com/health-insurance,25
Health insurance,forbes.com,https://www.forbes.com/advisor/in/health-insurance/what-is-health-insurance/,26
Health insurance,careinsurance.com,https://www.careinsurance.com/health-insurance/,27
Health insurance,bankbazaar.com,https://www.bankbazaar.com/insurance/health-insurance.html,28
Health insurance,acko.com,https://www.acko.com/health-insurance/family-health-insurance-plan/,29
Health insurance,sbigeneral.in,https://www.sbigeneral.in/health-insurance/,30
Health insurance,sbigeneral.in,https://www.sbigeneral.in/health-insurance/,31
Health insurance,adityabirlacapital.com,https://www.adityabirlacapital.com/healthinsurance/homepage,32
Health insurance,icicilombard.com,https://www.icicilombard.com/health-insurance/health-advantedge-insurance-for-family,33
Health insurance,licindia.in,https://licindia.in/health-plans,34
Health insurance,axisbank.com,https://www.axisbank.com/retail/insurance/health-insurances,35
Health insurance,hitpa.co.in,https://hitpa.co.in/,36
Health insurance,iciciprulife.com,https://www.iciciprulife.com/health-insurance/what-is-health-insurance.html,37
Health insurance,libertyinsurance.in,https://www.libertyinsurance.in/health-insurance/,38
Health insurance,bankofbaroda.in,https://www.bankofbaroda.in/personal-banking/insurance/standalone-health-insurance,39
Health insurance,irdai.gov.in,https://irdai.gov.in/list-of-health-insurers,40
Auto insurance,policybazaar.com,https://www.policybazaar.com/motor-insurance/car-insurance/,1
Auto insurance,icicilombard.com,https://www.icicilombard.com/motor-insurance/car-insurance,2
Auto insurance,tataaig.com,https://www.tataaig.com/motor-insurance/car-insurance,3
Auto insurance,iii.org,https://www.iii.org/article/what-auto-insurance,4
Auto insurance,bajajfinserv.in,https://www.bajajfinserv.in/insurance/car-insurance-all-products,5
Auto insurance,insurancedekho.com,https://www.insurancedekho.com/car-insurance,6
Auto insurance,bajajallianz.com,https://www.bajajallianz.com/motor-insurance/car-insurance-online.html,7
Auto insurance,hdfcergo.com,https://www.hdfcergo.com/car-insurance,8
Auto insurance,acko.com,https://www.acko.com/car-insurance/,9
Auto insurance,investopedia.com,https://www.investopedia.com/terms/a/auto-insurance.asp,10
Auto insurance,policybazaar.com,https://www.policybazaar.com/motor-insurance/,11
Auto insurance,newindia.co.in,https://www.newindia.co.in/motor-insurance/car-insurance,12
Auto insurance,cholainsurance.com,https://www.cholainsurance.com/motor-insurance/car-insurance,13
Auto insurance,my.royalsundaram.in,https://my.royalsundaram.in/car-insurance,14
Auto insurance,general.futuregenerali.in,https://general.futuregenerali.in/motor-insurance/car-insurance,15
Auto insurance,libertyinsurance.in,https://www.libertyinsurance.in/car-insurance/,16
Auto insurance,iffcotokio.co.in,https://www.iffcotokio.co.in/motor-insurance/car-insurance,17
Auto insurance,icicilombard.com,https://www.icicilombard.com/motor-insurance,18
Auto insurance,sbigeneral.in,https://www.sbigeneral.in/motor-insurance/private-car-insurance,19
Auto insurance,godigit.com,https://www.godigit.com/motor-insurance/car-insurance,20
Auto insurance,acko.com,https://www.acko.com/motor-insurance/,21
Auto insurance,hizuno.com,https://www.hizuno.com/four-wheeler-insurance,22
Auto insurance,tataaig.com,https://www.tataaig.com/motor-insurance,23
Auto insurance,kotakgeneral.com,https://www.kotakgeneral.com/motor-insurance/car-insurance,24
Auto insurance,bajajfinserv.in,https://www.bajajfinserv.in/marketplace/insurance/car-insurance/car-insurance-premium-calculator/vehicleRegistration,25
Auto insurance,coverfox.com,https://www.coverfox.com/car-insurance/,26
Auto insurance,bajajallianz.com,https://www.bajajallianz.com/general-insurance-renewal/car-insurance-renewal-online.html,27
Auto insurance,iii.org,https://www.iii.org/publications/insurance-handbook/insurance-basics/auto-insurance-basics,28
Auto insurance,en.wikipedia.org,https://en.wikipedia.org/wiki/Vehicle_insurance,29
Auto insurance,reliancegeneral.co.in,https://www.reliancegeneral.co.in/insurance/motor-insurance/car-insurance.aspx,30
Auto insurance,shriramgi.com,https://www.shriramgi.com/car-insurance,31
Auto insurance,icicibank.com,https://www.icicibank.com/personal-banking/insurance/general-insurance/car-insurance,32
Auto insurance,quickinsure.co.in,https://quickinsure.co.in/car-insurance,33
Auto insurance,iffcotokio.co.in,https://www.iffcotokio.co.in/motor-insurance,34
Auto insurance,economictimes.indiatimes.com,https://economictimes.indiatimes.com/definition/auto-insurance,35
Auto insurance,allstate.com,https://www.allstate.com/auto-insurance,36
Auto insurance,amazon.in,https://www.amazon.in/auto-insurance/car-insurance,37
Auto insurance,directauto.com,https://www.directauto.com/,38
Auto insurance,investopedia.com,https://www.investopedia.com/articles/pf/08/beginner-guide-auto-insurance.asp,39
Auto insurance,nationwide.com,https://www.nationwide.com/lc/resources/auto-insurance/articles/types-of-car-insurance,40
Home insurance,hdfcergo.com,https://www.hdfcergo.com/home-insurance,1
Home insurance,policybazaar.com,https://www.policybazaar.com/home-insurance/,2
Home insurance,tataaig.com,https://www.tataaig.com/home-insurance,3
Home insurance,nationalinsurance.nic.co.in,https://nationalinsurance.nic.co.in/en/miscellaneous-insurance/house-holders-insurance-policy,4
Home insurance,bajajfinserv.in,https://www.bajajfinserv.in/insurance/home-insurance-coverage-for-home-owners,5
Home insurance,my.royalsundaram.in,https://my.royalsundaram.in/home-insurance,6
Home insurance,cholainsurance.com,https://www.cholainsurance.com/home-insurance,7
Home insurance,hdfcbank.com,https://www.hdfcbank.com/personal/insure/home-insurance,8
Home insurance,bankbazaar.com,https://www.bankbazaar.com/insurance/home-insurance.html,9
Home insurance,policybazaar.com,https://www.policybazaar.com/home-insurance/companies/,10
Home insurance,shriramgi.com,https://www.shriramgi.com/home-insurance,11
Home insurance,bajajallianz.com,https://www.bajajallianz.com/home-insurance/my-home-insurance.html,12
Home insurance,bajajallianz.com,https://www.bajajallianz.com/home-insurance/my-home-insurance.html,13
Home insurance,livemint.com,https://www.livemint.com/money/personal-finance/a-guide-on-home-insurance-for-first-time-property-buyers-in-india-11681473072533.html,14
Home insurance,libertyinsurance.in,https://www.libertyinsurance.in/commercial-insurance/property-insurance/,15
Home insurance,paytm.com,https://paytm.com/blog/insurance/home-insurance/what-is-home-insurance-features-advantages/,16
Home insurance,royalsundaram.in,https://www.royalsundaram.in/home-insurance/,17
Home insurance,icicidirect.com,https://www.icicidirect.com/insurance-online/home-insurance,18
Home insurance,uiic.co.in,https://uiic.co.in/en/product/householder-insurance/Householder%E2%80%99s-Policy,19
Home insurance,en.wikipedia.org,https://en.wikipedia.org/wiki/Home_insurance,20
Home insurance,investopedia.com,https://www.investopedia.com/insurance/homeowners-insurance-guide/,21
Home insurance,sbilife.co.in,https://www.sbilife.co.in/en/knowledge-centre/insurance-basics-financial-advice/how-does-home-insurance-work,22
Home insurance,probusinsurance.com,https://www.probusinsurance.com/house-insurance/,23
Home insurance,sbigeneral.in,https://www.sbigeneral.in/,24
Home insurance,icicilombard.com,https://www.icicilombard.com/complete-home-protect-policy,25
Home insurance,hdfcbank.com,https://www.hdfcbank.com/personal/resources/learning-centre/insure/how-to-apply-for-home-insurance,26
Home insurance,gibl.in,https://www.gibl.in/home-insurance/,27
Home insurance,bankofindia.co.in,https://bankofindia.co.in/general-insurance/future-generali/home-insurance,28
Home insurance,axisbank.com,https://www.axisbank.com/retail/insurance/general-insurance/home-insurance/features-benefits,29
Home insurance,iffcotokio.co.in,https://www.iffcotokio.co.in/home-insurance/what-does-best-home-insurance-cover,30
Home insurance,livemint.com,https://www.livemint.com/money/personal-finance/key-factors-to-consider-when-purchasing-home-insurance-coverage-scope-level-deductibles-and-claims-process-homeinsurance-insurancetips-11681926700685.html,31
Home insurance,federalbank.co.in,https://www.federalbank.co.in/my-home-insurance-all-risk-policy,32
